Facultad / Departamento;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021-1
Administración;23;27;23;21;18;19;16;19;17;17;17;16;13;9;13;12;9;9;10
Arquitectura;5;6;10;11;10;9;16;15;18;17;13;11;11;12;11;11;13;14;16
Diseño;3;4;8;10;13;14;19;22;20;21;23;20;24;24;25;26;27;24;23
Decanatura Facultad;;;;;;;;;;;;;;;1;1;1;1;1
Arquitectura y Diseño;8;10;18;21;23;23;35;37;38;38;36;30;34;36;37;38;40;39;40
Arte;7;7;10;11;13;14;13;13;13;13;13;12;13;14;18;18;18;18;17
Historia del Arte;;;;;;;;;;;;;;;;1;;;
Humanidades y literatura;5;5;3;4;3;3;3;1;1;;;1;1;;;;;;
Música;4;6;6;7;7;8;12;12;9;7;8;9;9;9;9;11;11;10;11
CEPER;;;;;2;;;3;2;4;5;5;5;5;5;4;3;5;5
Decanatura Facultad;;;;;;;;;;;;;;;;;1;2;2
Artes y Humanidades;16;17;19;21;24;25;30;29;25;24;26;27;28;28;32;34;33;35;35
Ciencias Biológicas;13;12;12;10;9;9;8;7;7;7;7;7;6;4;4;3;3;3;3
Física;2;2;2;2;2;3;3;2;1;1;1;1;1;1;1;1;2;1;2
Geociencias;;;;;;;;;;;;;;1;1;1;;;
Matemáticas;8;9;9;7;7;9;9;9;13;12;12;12;10;11;11;9;10;9;9
Química;2;2;1;1;1;1;1;1;1;;;;;1;;;;;
Decanatura Facultad;;;;;;1;2;;;;;;;;;;1;1;1
Ciencias;25;25;23;20;18;21;21;19;21;19;20;20;16;18;17;14;16;14;15
Antropología;4;3;4;3;2;2;2;2;2;2;2;;1;;1;1;;;
Ciencia Política;3;2;3;7;5;7;5;3;2;3;3;1;;;;1;;1;
Filosofía;2;2;3;3;4;4;3;3;3;3;2;;;;;;;;
Historia y Geografía*;4;4;4;3;2;1;1;1;1;1;1;1;1;1;1;1;;;
Lenguas y Cultura;5;8;8;10;13;8;8;8;6;5;6;5;12;20;17;19;17;18;18
Psicología;6;6;5;5;4;3;2;1;2;2;1;1;1;;;;;;
Decanatura Facultad;;;;;;1;2;;;;;;;;;1;1;2;1
Ciencias Sociales;22;24;26;30;29;24;20;17;15;15;15;8;15;21;19;23;18;21;19
CIDER;3;2;3;4;4;3;3;2;1;;;;2;1;1;1;;;
Derecho;9;12;20;21;19;14;17;18;16;15;16;13;12;10;10;8;8;8;6
Decanatura estudiantes;;2;2;1;1;1;;;;;;;;;;;;;
Economía;13;13;12;11;12;12;12;8;7;7;7;5;6;5;5;5;6;5;5
Educación;;;;3;2;4;5;5;6;8;8;7;4;1;1;1;1;;
Escuela de Gobierno;;;;;1;1;;1;;;2;2;1;1;1;1;;;
Ing. Biomédica;;;;;;;;;;;;;1;1;1;1;1;1;1
Ing. Civil y Ambiental;10;11;13;10;9;10;11;12;11;10;7;6;9;8;8;8;6;6;6
Ing. Eléctrica y Electrónica;6;4;5;5;6;6;2;2;2;1;1;;;1;2;2;2;2;2
Ing. Industrial;13;16;14;13;7;11;13;14;12;14;16;16;11;13;13;13;13;12;12
Ing. Mecánica;7;8;6;6;5;6;3;2;3;3;3;3;4;3;3;3;2;2;2
Ing. Química y Alimentos**;5;7;8;6;7;6;7;7;4;2;1;1;1;1;;;;;
Ing. Sistemas;15;15;11;8;9;11;9;11;8;6;8;10;10;12;11;10;11;9;8
Decanatura Facultad;;;1;;2;1;2;2;3;2;2;1;;;1;;2;2;2
Ingeniería;55;61;57;47;45;52;47;50;42;37;37;36;35;39;39;37;37;34;32
Medicina;;;;;;;1;1;;;;;;;1;1;1;2;2
Otras unidades;;;;;1;;2;2;;;;;;;;;;;
Total Uniandes;172;192;202;197;195;197;207;205;187;179;181;162;164;167;174;174;168;166;164
;;;;;;;;;;;;;;;;;;;
Porcentaje;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
