Facultad / Departamento;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021-1
Administración;40;48;47;48;45;48;50;48;48;47;51;52;55;61;76;75;65;64;65
Arquitectura;14;14;17;20;18;17;23;23;26;25;22;26;26;26;25;25;26;26;27
Diseño;16;14;15;16;20;21;21;23;22;24;26;24;26;26;29;31;34;32;31
Decanatura Facultad;;;;;;;;;;;1;1;1;1;2;1;1;1;1
Arquitectura y Diseño;30;28;32;36;38;38;44;46;48;49;49;51;52;53;56;57;60;59;59
Arte;9;10;14;15;16;17;15;18;18;19;19;18;18;21;19;19;18;18;17
Historia del Arte;;;;;;;;;;;;;;;5;7;6;7;8
Humanidades y literatura;13;12;12;13;11;13;12;14;15;14;14;15;14;13;12;13;16;16;17
Música;10;11;11;14;15;15;18;18;18;16;15;16;17;18;17;21;21;20;21
CEPER;;;;;2;;;3;4;5;6;6;6;6;6;6;6;8;8
Decanatura Facultad;;;;;;;;;;;3;3;3;3;4;4;7;8;6
Artes y Humanidades;32;33;37;41;43;47;48;53;54;54;57;58;58;61;63;70;73;77;77
Ciencias Biológicas;20;23;24;22;23;24;29;27;29;28;28;29;25;25;24;27;28;25;24
Física;16;20;20;19;21;24;24;26;24;27;20;25;27;28;28;29;30;25;25
Geociencias;;;;;;;;;;;7;7;8;10;8;12;12;9;10
Matemáticas;32;39;40;40;37;38;46;37;51;48;48;53;52;53;54;50;50;51;51
Química;7;7;9;8;8;10;11;10;10;12;14;14;14;15;17;16;19;21;19
Decanatura Facultad;;;;;;2;3;;;2;2;2;2;3;3;2;4;4;4
Ciencias;75;89;93;89;89;96;110;99;113;116;119;129;127;134;134;136;142;133;132
Antropología;10;14;17;15;11;12;13;13;14;12;12;12;13;15;14;15;15;16;15
Ciencia Política;13;12;13;18;14;16;16;14;13;16;15;14;13;15;14;17;16;17;16
Filosofía;5;4;6;5;9;9;9;10;10;10;11;10;10;12;12;12;11;12;12
Historia y Geografía*;11;12;11;13;13;12;15;16;16;13;15;15;16;17;15;12;16;16;13
Lenguas y Cultura;12;15;15;20;20;15;16;16;15;15;15;16;23;31;28;31;30;31;30
Psicología;11;11;11;14;15;14;15;15;16;16;17;18;19;17;18;18;18;15;16
Decanatura Facultad;;;;;3;2;3;2;3;2;2;2;4;5;6;8;9;10;10
Ciencias Sociales;61;67;73;85;84;80;86;86;87;84;87;87;97;111;106;111;114;116;111
CIDER;6;5;7;9;9;8;9;10;8;9;9;8;9;12;12;12;12;12;12
Derecho;20;22;33;29;32;29;33;35;33;34;36;37;38;40;40;38;41;42;41
Decanatura estudiantes;;2;2;1;1;1;;0;;;;;;;;;;;
Economía;28;34;35;36;36;34;35;34;33;30;37;36;38;38;41;41;40;39;37
Educación;;1;2;6;7;9;10;12;13;15;14;17;16;15;20;18;20;18;17
Escuela de Gobierno;;;;;1;2;3;5;4;7;10;12;11;9;15;15;13;16;16
Ing. Biomédica;;;;;;;;;;3;4;6;7;7;7;8;9;9;9
Ing. Civil y Ambiental;15;15;18;19;15;18;21;23;25;25;20;22;26;28;30;30;27;28;26
Ing. Eléctrica y Electrónica;17;17;18;19;19;18;17;21;22;18;19;16;16;17;19;20;20;19;19
Ing. Industrial;27;29;28;29;25;24;25;27;28;28;31;30;27;31;32;32;29;28;28
Ing. Mecánica;14;15;13;16;16;16;17;17;16;15;14;14;14;14;13;14;14;14;14
Ing. Química y Alimentos**;7;9;11;9;13;13;14;13;11;10;9;9;9;9;10;11;9;10;12
Ing. Sistemas;22;24;22;20;24;24;23;24;25;25;29;30;31;36;35;33;36;34;31
Decanatura Facultad;;;1;;5;2;3;4;5;5;6;5;3;4;6;10;11;7;10
Ingeniería;102;110;110;111;116;117;122;128;131;128;130;131;132;144;151;157;154;149;148
Medicina;;4;6;8;7;7;9;10;11;11;12;14;13;15;16;19;19;21;22
Otras unidades;;;;;4;3;3;3;;;;;;;4;5;5;6;
Total Uniandes;393;440;475;495;510;517;559;567;581;582;610;629;644;692;731;750;756;749;737
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Porcentaje;;;;;;;;;;;;;;;;;;;
