Facultad / Programa;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1
Administración;2;5;1;;3;;2;3;3;2;1;1;3;2;2;1;2;1;1;1;2;;;;;2;1;2;2;;1;1;7;2;3;1;1;2;1
Administración Total;2;5;1;;3;;2;3;3;2;1;1;3;2;2;1;2;1;1;1;2;;;;;2;1;2;2;;1;1;7;2;3;1;1;2;1
Arquitectura;3;3;3;3;3;6;1;3;1;2;2;3;3;;1;2;2;3;4;5;3;2;2;7;3;4;1;3;3;2;2;4;;3;2;2;2;2;1
Diseño;3;4;2;2;3;4;1;1;2;2;;1;2;2;2;4;2;4;1;;4;;2;1;2;2;1;4;2;3;;1;8;1;1;2;1;1;1
Arquitectura y Diseño;6;7;5;5;6;10;2;4;3;4;2;4;5;2;3;6;4;7;5;5;7;2;4;8;5;6;2;7;5;5;2;5;8;4;3;4;3;3;2
Arte;3;4;6;5;5;8;3;3;2;2;2;;1;2;2;1;;3;5;1;;1;1;1;1;;1;1;;1;;1;2;;;;2;1;
Historia del Arte;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;1;2;;;;;;1;;;;1;
Literatura;;1;;1;2;3;;;;2;1;2;1;;2;;;1;;1;;;;;;;;1;1;;1;;1;;;1;;;
Música;1;;1;3;2;3;;1;1;;6;2;5;8;4;1;4;1;;3;4;;2;;;2;2;1;;1;2;1;;1;;;;;
Artes y Humanidades;4;5;7;9;9;14;3;4;3;4;9;4;7;10;8;2;4;5;5;5;4;3;3;2;1;3;4;5;1;2;3;2;3;2;;1;2;2;
Biología;4;1;;1;2;;1;;;1;1;1;1;2;;1;;1;2;1;;;;;1;1;;1;1;2;;1;;;1;;;;1
Física;;;;;;;;;1;;;1;1;;1;;;;1;;;;;2;3;;;1;1;1;;;;;;;;;
Geociencias;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;3;1;;;1;;
Matemáticas;;1;1;;;3;;1;;;;;;;;1;;;;;;;1;;;1;1;;;1;;;1;;;;;;
Microbiología;1;;1;;;;;;;2;1;3;;1;1;1;1;1;;;;;;;1;1;;;;;;;;;;1;;;
Química;;;;;;;;;;3;;1;;;1;;;;;;;;;;;1;;1;;;;;;;;;;;
